OBJECTID,WARDNAME,WardCode,SHAPE_Length,SHAPE_Area
195,NEW BUILDINGS,N08000527,12793.5934942483,5406335.71785132
196,NEWTOWNSTEWART,N08000528,52297.4010619337,87945640.3896875
197,NORTHLAND,N08000529,5782.57068310998,1292328.23382429
198,PARK,N08000530,68540.2149184595,121121666.902071
199,SHANTALLOW,N08000531,4119.64235309521,689595.323629323
200,SHERIFF'S MOUNTAIN,N08000533,25368.8371468397,21657072.8873139
201,SION MILLS,N08000534,28379.2065727627,24144304.0700643
202,SLIEVEKIRK,N08000536,55160.3748031329,72063473.3175408
203,STRABANE NORTH,N08000538,11103.1645504442,3938360.36316585
204,VICTORIA,N08000540,11991.6091829519,3635124.59571684
205,BELCOO and GARRISON,N08000602,104492.614966435,202263696.671991
206,BOHO CLEENISH and LETTERBREEN,N08000605,82916.1898441123,139993130.4873
207,COOLNAGARD,N08000609,7468.11707982682,2191005.83674959
208,DERRYGONNELLY,N08000611,83837.2752749811,160980555.154706
209,DERRYLIN,N08000612,54988.4876561289,105649728.851472
210,FLORENCE COURT and KINAWLEY,N08000621,80647.1385983629,163752148.833303
211,GORTRUSH,N08000623,11008.1360149099,3326941.03982722
212,KILLYCLOGHER,N08000625,7060.2399642513,1472386.73219539
213,MAGUIRESBRIDGE,N08000629,58637.3759036351,88700721.8192305
214,ROSSLEA,N08000634,55919.3943087323,95426483.8487622
215,ROSSORRY,N08000635,15820.7656111683,5745953.0034208
216,STRULE,N08000637,8496.14316101073,2341320.98124656
217,BALLINDERRY,N08000701,33431.7091176054,34393885.4590129
218,BALLYMACBRENNAN,N08000704,40062.7356063162,42419694.9102455
219,BALLYMACOSS,N08000705,5762.35762896399,1508374.31310441
220,BEECHILL,N08000706,7859.04535510178,2872202.95233907
221,BLARIS,N08000707,17644.8333699012,9608680.46606861
222,CAIRNSHILL,N08000708,5484.42844505624,835203.658965229
223,CARROWREAGH,N08000709,16052.0911831609,7394147.17453305
224,CARRYDUFF EAST,N08000710,21295.1647338962,12629445.5469758
225,CARRYDUFF WEST,N08000711,13469.6494417187,4229611.30397376
226,DERRYAGHY,N08000712,11852.1625255238,3410875.72208573
227,DROMARA,N08000713,36059.8450771298,42090188.4842377
228,DRUMBO,N08000714,29017.663136685,23745156.7153852
229,DUNDONALD,N08000715,9331.06531363225,2108454.60747626
230,GALWALLY,N08000717,5473.93834502945,1078657.52781779
231,GLENAVY,N08000718,37762.5882748806,32321313.9742381
232,GRAHAM'S BRIDGE,N08000719,6285.79076309769,991564.761344137
233,HARMONY HILL,N08000720,5877.30596949875,901866.97592417
234,HILDEN,N08000721,8422.63167686637,1503850.53603313
235,HILLHALL,N08000722,14792.2310250979,7575943.49984325
236,HILLSBOROUGH,N08000723,24314.7055207506,22694996.9298323
237,KNOCKMORE,N08000725,12992.9620391302,4227108.21690269
238,LAGAN,N08000726,44224.9886764614,44645924.568735
239,LAGAN VALLEY,N08000727,5278.14569342354,1036342.71974153
240,LAMBEG,N08000728,11236.2331931235,4370083.15500461
241,LISNAGARVEY,N08000729,4897.49279089973,748181.487067557
242,MAGHABERRY,N08000730,31218.7961721538,21400802.1247066
243,MAGHERALAVE,N08000731,6821.50606055264,1693528.41827167
244,MAZE,N08000732,21493.7318515196,17521385.0625554
245,MOIRA,N08000733,11181.404165287,3950392.29658644
246,NEWTOWNBREDA,N08000735,4589.31797800488,750772.405402188
247,OLD WARREN,N08000736,4643.71687849664,992816.507139363
248,RAVERNET,N08000737,37440.1002407853,35019650.866806
249,STONYFORD,N08000738,58175.9177760126,62657155.8444904
250,WALLACE PARK,N08000739,6964.59954680309,1926583.35146377
251,ACADEMY,N08000801,8046.44039736548,2609260.98024319
252,ARDEEVIN,N08000803,11170.6142968744,3434951.87737133
253,BALLEE and HARRYVILLE,N08000804,10926.6346377173,4170022.48848995
254,BALLYCARRY and GLYNN,N08000805,35099.238171112,45713094.0471797
255,BALLYKEEL,N08000806,6215.27225285916,1448731.13917515
256,BONEYBEFORE,N08000807,5205.74978384727,914517.952311385
257,BRAIDWATER,N08000808,7240.14799386121,1792272.91404257
258,BROUGHSHANE,N08000809,21645.6068086266,15733136.8697035
259,BURLEIGH HILL,N08000810,4983.02944011565,1137942.30869903
260,CAIRNCASTLE,N08000811,30180.9931512103,32193946.6745849
261,CARNLOUGH and GLENARM,N08000812,62608.9571919679,110485970.981912
262,CASTLE,N08000813,7613.32790115384,1312012.08253817
263,CASTLE DEMESNE,N08000814,7376.02094583027,1602217.08609721
264,CRAIGYHILL,N08000815,7025.14608340813,1783357.62775807
265,CULLYBACKEY,N08000816,12474.828224953,4945201.25084034
266,CURRAN and INVER,N08000817,13750.7569171288,4665109.11716553
267,FAIR GREEN,N08000818,6144.21907765261,1222003.63714152
268,GALGORM,N08000819,19114.1741328435,10037242.7892245
269,GARDENMORE,N08000820,7071.01321629637,1753110.19913994
270,GLENRAVEL,N08000821,50523.6617745953,87726219.806971
271,GLENWHIRRY,N08000822,80018.7040898564,114953266.144067
272,GORTALEE,N08000823,6024.12178043876,1168397.07754397
273,GRANGE,N08000824,47073.5451000327,60368297.1041692
274,GREENISLAND,N08000825,14588.2987528678,6296365.13846151
275,ISLANDMAGEE,N08000826,36220.2767819499,32741223.807794
276,KELLS,N08000827,32022.1223104466,21800531.1298977
277,KILROOT,N08000828,24503.6886190743,19261821.492952
278,KILWAUGHTER,N08000829,41604.6046011373,64586998.5163074
279,KIRKINRIOLA,N08000830,42838.2163837206,59511983.257567
280,LOVE LANE,N08000831,5080.15379113969,1196009.09599055
281,MAINE,N08000832,59904.8300303001,57007078.3388519
282,PARK,N08000833,5722.1811636856,1186109.52033028
283,PORTGLENONE,N08000834,35340.7847373942,39531756.3166752
284,SLEMISH,N08000835,78462.2104845463,179173451.911603
285,SUNNYLANDS,N08000836,4268.83381107508,824093.103374684
286,THE MAIDENS,N08000837,6440.28104045128,1414626.17742152
287,VICTORIA,N08000838,5664.34193816064,1660359.13573049
288,WHITEHEAD SOUTH,N08000839,13897.5740365881,7707233.10931697
289,WOODBURN,N08000840,38678.8079687199,49065453.0411604
290,ARDBOE,N08000901,54238.6629916525,137014195.78858
291,AUGHER and CLOGHER,N08000902,61898.4577014598,99936057.7972105
292,AUGHNACLOY,N08000903,61631.8709804004,83806629.2750123
293,BALLYGAWLEY,N08000904,52653.915491548,76779419.6445527
294,BALLYMAGUIGAN,N08000905,34813.5665790671,43373025.0491057
295,BALLYSAGGART,N08000906,9519.44280008612,3956837.52393458
296,BELLAGHY,N08000907,33440.8154620971,41715763.203515
297,CALEDON,N08000908,64679.7471406274,93775606.8682907
298,CASTLECAULFIELD,N08000909,39000.1555477865,41706759.6580434
299,CASTLEDAWSON,N08000910,35740.5401962991,34269840.3164906
300,COAGH,N08000911,47280.7305606162,41661665.5797985
301,COALISLAND SOUTH,N08000913,9653.31757303874,3093855.17860788
302,COOKSTOWN EAST,N08000914,13081.0221080524,4832844.36999524
303,COOKSTOWN SOUTH,N08000915,7962.31562949963,2217640.80766809
