WARD93_ID,NAME,SHAPE_Length,SHAPE_Area,OBJECTID
717,CLIFTONVILLE,5934.02191268362,1182625.6815302,253
1504,"BOHO, CLEENISH and LETTERBREEN",82708.7459256455,139979597.940942,254
1506,CASTLECOOLE,16601.0274402741,6837375.18315582,255
114,SPRINGFARM,9692.47838437979,4336560.14413991,256
502,BENVARDIN,36560.3450403198,36040435.8842512,257
208,DONAGHADEE NORTH,974.946424102693,11611.7600055569,258
1832,POLEGLASS,3715.28882332329,755798.187023127,259
1411,COALISLAND SOUTH,12098.0473966156,4105706.77530034,260
2109,GLENARIFF,43018.2577545021,53024455.2958562,261
2226,SPELGA,46095.8005364094,78676841.0747421,262
2213,DRUMALANE,7191.60993890839,2051971.42658362,263
618,GRANSHA,40524.2444283312,51537753.8848857,264
2518,SIXMILECROSS,58131.8200642997,78615045.0279928,265
104,CLADY,59312.9240174362,80184654.6301754,266
1813,HILLHALL,14251.5807888143,6898496.06625989,267
208,DONAGHADEE NORTH,3.84742390346116,0.902596499664694,268
607,EDENDERRY,6090.18828013614,917035.266700894,269
1605,CARNCASTLE,85.0355244736036,403.237230501748,270
1517,LISBELLAW,43683.7140195733,52292804.5106005,271
1101,ARDBOE,37301.9160378529,61570818.3859975,272
1108,MONEYMORE,29143.9992339888,21973051.0865637,273
602,BANBRIDGE WEST,5415.97046594159,1315150.20880476,274
423,SUMMERFIELD,7312.57056160589,1626681.26640258,275
1003,BALLYSALLY,4622.54546071878,923542.64877903,276
422,SLEMISH,72027.9652177183,135936200.264877,277
1015,PORTSTEWART,7229.23470715427,789002.932582402,278
504,CLOGH MILLS,28406.9429961747,24143496.5536573,279
1925,SHANTALLOW WEST,10722.7153450425,5844825.79835453,280
320,RICH HILL,12407.2501736159,5090955.91750978,281
1203,BALLYBAY,14455.7257736423,6506332.40793353,282
509,KILLOQUIN LOWER,37433.4705487095,40077319.4446276,283
307,DERRYNOOSE,51201.3948235432,69816422.1013973,284
1318,QUOILE,21276.126509316,12485137.4774986,285
218,SCRABO,15787.0191402052,7744071.84325074,286
2214,DRUMGULLION,7182.0165065491,1506733.78112087,287
406,BROUGHSHANE,22563.7338519758,11983820.336322,288
730,KNOCK,6133.63452982184,1120433.42988358,289
2412,CRAWFORDSBURN,8.63028467085851,4.63885899943689,290
204,CENTRAL,8421.3707714989,2797442.04413272,291
2101,ARMOY,28804.811214179,27894330.0321753,292
908,ENLER,3899.10112454097,521157.864162733,293
1002,ATLANTIC,15847.7867439627,4544334.25059335,294
419,MOAT,4530.1409653471,440803.943372112,295
1106,KILLYMOON,6864.36614421379,1898277.74169812,296
1404,BALLYGAWLEY,48610.6397084623,57098639.5531189,297
1408,CASTLECAULFIELD,38618.223136604,39084059.0482691,298
1421,MOYGASHEL,14758.0425984536,6017224.83723092,299
2314,DUNANNEY,4313.74041849216,644606.006644934,300
1229,DONAGHCLONEY,42735.8585252215,33427404.7098781,301
1306,CATHEDRAL,14091.1963436133,5596186.54829101,302
1316,KILMORE,43690.7279474463,60399111.0016822,303
1523,TEMPO,59648.5623917586,90488797.6230777,304
420,PARK,5748.89020947777,961979.701156705,305
1001,AGIVEY,57915.7863857636,67330014.0230043,306
714,CAVEHILL,11310.348254963,3409068.83372053,307
1226,WOODVILLE,6241.40486475747,1396088.9219288,308
719,CRUMLIN,3965.9958289266,826676.401699994,309
2612,SLIEVEKIRK,44214.113448315,66081977.8609493,310
2312,COOLE,3168.68898802333,473273.645502814,311
1228,DERRYTRASNA,40993.5239309946,71589641.4362472,312
1413,COOLHILL,8028.72602510845,2315058.51142333,313
2223,ROSTREVOR,34158.5935330025,32223340.1266833,314
2419,LOUGHVIEW,11593.1318480193,3394437.9119995,315
918,NEWTOWNBREDA,8420.72441555245,1756485.59166101,316
2215,FATHOM,29277.2412656353,26383051.5052925,317
1222,TAVANAGH,3650.58172814779,531063.707221564,318
414,GLENRAVEL,52078.2209910574,89686769.9762933,319
2201,ANNALONG,30714.1722795076,38634977.5531831,320
303,CALLAN BRIDGE,7506.07818744214,1386546.98721368,321
216,PORTAFERRY,43373.1380595969,36457755.5742874,322
314,LAURELVALE,27884.6667575982,15252354.2304738,323
2114,KNOCKLAYD,6801.32966031214,1659456.83435083,324
2417,HOLYWOOD DEMESNE,8995.85547455818,1790442.98167822,325
2611,SION MILLS,17085.5412917698,6968970.25909064,326
1218,MAGHERALIN,27009.0258920284,17867737.1960292,327
907,DUNDONALD,9237.43389468659,2178395.21798812,328
2014,UPPERLANDS,36898.9639055626,37413064.7005068,329
215,MOVILLA,6019.71242329166,1424578.18072578,330
122,PARKGATE,42644.5079904037,65087740.5824284,331
1311,DUNDRUM,29744.4450986482,24130462.600362,332
2319,JORDANSTOWN,8487.24901894576,1861166.50163551,333
2608,NEWTOWNSTEWART,36960.1325515575,47605810.5556097,334
2220,MAYOBRIDGE,41043.2104116441,54915456.2120859,335
2606,FINN,43188.602986468,38146615.9336757,336
1507,DERRYGONNELLY,83739.0857690402,161005309.197426,337
505,DERVOCK,41832.4177914249,38824288.604134,338
1109,NEWBUILDINGS,8167.06998471741,2130623.25510145,339
2003,CASTLEDAWSON,22356.1907230209,14722491.54251,340
1410,COALISLAND NORTH,18637.5126100479,11021792.6092923,341
734,NEW LODGE,3990.90279608412,716069.021473707,342
806,GREENISLAND,14253.4029662248,4543257.8816721,343
1920,LISNAGELVIN,4396.13336706713,793063.305417308,344
2217,KILKEEL CENTRAL,18389.8352350332,6243369.7894742,345
805,GORTALEE,3500.77619469226,335174.064598438,346
916,MINNOWBURN,7611.26230281666,1465807.46110915,347
925,CARRYDUFF WEST,13501.8155147887,4230477.38333637,348
316,MARKETHILL,33601.9537584114,31742929.7839636,349
102,BALLOO,10743.989915914,5269939.02450422,350
1020,UNIVERSITY,7832.93905173528,2337874.10058971,351
123,SHILVODAN,46410.1715790165,52170720.4229874,352
1402,AUGHER,53676.6135669292,71833151.6040087,353
1409,CLOGHER,67115.9149494895,104546940.275497,354
408,CRAIGYWARREN,45591.4941175862,60425549.0902377,355
2505,DERGMONEY,6543.50261846797,1424562.20924411,356
2104,BUSHMILLS,24289.1179790061,8553836.27321526,357
1811,HARMONY HILL,5638.58395299978,911145.921611714,358
1403,AUGHNACLOY,53402.4897020639,70095284.6841453,359
1010,HOPEFIELD,7338.50909965892,2088381.62976492,360
1004,CASTLEROCK,31688.4402860268,29042601.066666,361
1604,BLACKCAVE,4783.61503584544,855181.04742024,362
743,SYDENHAM,11119.1882951562,6235796.58979072,363
1605,CARNCASTLE,14.8709163314605,13.878893998151,364
913,KNOCKBRACKEN,5183.16086656239,1082372.49818748,365
1315,KILLYLEAGH,17071.1246777464,10833974.8581893,366
2411,CRAIGAVAD,25.1807262276319,31.8339980032282,367
2508,DRUMQUIN,77956.6198269614,133589245.315586,368
513,ROUTE,7706.70465778949,2643991.35690834,369
2503,CLANABOGAN,59459.3712107663,87768554.5855591,370
1909,CLONDERMOT,6157.31339462156,1189797.82520565,371
2302,BALLYCLARE NORTH,7807.28783639715,1819401.763913,372
2228,ST PATRICK'S,6307.36246457883,1664182.75468827,373
308,DOWNS,7402.94756524971,1532752.85548239,374
312,KILLEEN,52867.8215073294,62378662.8936391,375
1808,DRUMBO,30468.349500693,25364612.1507839,376
2409,CLANDEBOYE,12762.7254636223,6624839.75664583,377
317,MILFORD,40090.8018185497,44324522.9555785,378
1702,BALLYKELLY,29766.7552951114,20524253.561252,379
608,FORT,6366.62525393297,1235670.97728462,380
2411,CRAIGAVAD,10.5506872718959,7.60472599806662,381
2306,BALLYNURE,47300.9273768389,45361811.974954,382
724,FORTWILLIAM,5380.72818423234,1034668.09586932,383
713,CASTLEVIEW,5738.06696841297,1409055.00075822,384
2107,DUNSEVERICK,43185.7514496324,37405369.2225139,385
1219,MOURNEVIEW,3929.78634349434,749935.124578614,386
2521,TRILLICK,51032.9559402591,84064932.2806892,387
305,CHARLEMONT,29715.1658792076,34297444.3165827,388
2411,CRAIGAVAD,46.6625347072575,67.3897819966782,389
1310,DRUMANESS,34389.0076079877,35295828.0525029,390
704,BALLYMACARRETT,4667.87008624168,780335.753992145,391
741,STORMONT,14503.5109700842,7042884.42438127,392
620,THE CUT,5265.30641721134,758502.26964549,393
1803,BALLYMACOSS,20657.8510775699,14010008.2530939,394
205,COMBER NORTH,8969.92104399289,3641665.14391171,395
1810,GLENAVY,63923.0274836117,79076488.5392245,396
1505,BROOKEBOROUGH,79306.0569766895,123772610.717415,397
1309,DONARD,14.1903723994828,15.3243719939594,398
1503,BELLEEK AND BOA,100492.925178783,172971156.692188,399
2316,GLENGORMLEY,4461.79964966046,517747.15007702,400
1405,BALLYSAGGART,8242.55834484825,2551830.81699225,401
1814,HILLSBOROUGH,33957.2599425412,29802035.6338676,402
2411,CRAIGAVAD,34.868113922561,74.6828139944731,403
1804,BLARIS,16835.739992016,8919868.23254722,404
2009,MAGHERA,7629.16986118292,1899599.74806734,405
1711,MAGILLIGAN,53061.1635764986,78708543.350554,406
322,THE MALL,5394.39662258131,1049073.3218324,407
1418,KILLYMAN,39214.3187663911,35214897.1311973,408
2615,WEST,5898.92312518147,1280615.36051851,409
1320,SEAFORDE,54582.8138423891,73252263.6287359,410
813,VICTORIA,6211.30177401408,1101151.87912096,411
1710,GRESTEEL,33235.7682950447,19611373.1719167,412
2411,CRAIGAVAD,52.5443067071323,150.000174503035,413
1916,EGLINTON,30310.4315618326,29177437.9594889,414
410,DUNCLUG,3705.58387905346,706049.734583678,415
1301,ARDGLASS,50484.3551354805,34799725.8928512,416
2311,COLLINBRIDGE,9851.754924938,4372185.65218004,417
1608,CRAIGY HILL,2278.62931221134,272507.158336402,418
1210,DRUMNAMOE,2505.079494864,427800.939213139,419
2206,CAMLOUGH,43582.7725382515,38479226.5847673,420
1917,ENAGH,31589.1849020558,31131526.4966269,421
1602,BALLYCARRY,29733.337881691,33522443.0590494,422
736,RAVENHILL,6346.73265676927,1880736.22923566,423
1407,CALEDON,59169.3947387151,80581215.3505842,424
1831,MAGHABERRY,39517.985762871,39019811.2220854,425
1826,TONAGH,4067.88465179767,504324.219548463,426
2321,MONKSTOWN,5860.97355042536,1444626.80263716,427
919,TULLYCARNET,3525.54668222553,508019.275316708,428
1023,KNOCKLYNN,8940.74937523517,2958983.38169382,429
2407,BRYANSBURN,4861.26117609575,681541.142762102,430
2517,OWENKILLEW,66143.8606565676,174870321.718861,431
2219,LISNACREE,339.609354844429,4200.46561697592,432
2315,GLEBE,5343.2121601928,879424.955388919,433
105,CRANFIELD,41203.1643355757,55174138.2877207,434
1115,THE LOOP,37916.9068485765,60778972.5630385,435
1223,THE BIRCHES,46481.1195548452,55553484.9452406,436
1019,THE CUTS,12445.1161687081,4599199.89824381,437
2204,BESSBROOK,14580.0430802431,6185190.57962295,438
421,PORTGLENONE,35334.0482935947,39532199.9566402,439
2406,BROADWAY,4765.88872753181,1116069.17308369,440
511,KNOCKAHOLET,42489.6226719675,49887574.2117964,441
1610,GLENARM,56240.2969937239,107063621.83658,442
1519,MAGUIRES BRIDGE,58536.1759163418,88708328.5018329,443
1008,DUNLUCE,43774.4494379415,47775335.5597217,444
1709,GLACK,43092.8782005677,56009566.7408376,445
103,BALLYCRAIGY,3144.86136706474,556257.250458618,446
1317,MURLOUGH,22056.2635817195,12121770.4644107,447
220,WHITESPOTS,8632.4138539163,2698545.03537251,448
1007,CROSS GLEBE,5174.39181625941,1258982.66626764,449
1819,LISNAGARVY,4532.35656770819,697426.718866845,450
302,BALLYMARTRIM,49123.8812355812,61403467.7504684,451
2604,DUNNAMANAGH,62447.9204737883,94289248.869208,452
1923,ROSEMOUNT,3583.93812888645,424369.098328894,453
1111,OLDTOWN,5070.66245722187,817038.220361426,454
1022,CENTRAL,6076.3102955664,1069505.04966306,455
404,BALLYKEEL,5488.3469980322,1086299.47680963,456
1912,CREGGAN SOUTH,3962.0238879081,773141.608077705,457
211,KILLINCHY,45784.6998531039,70233815.0778769,458
1930,WESTLAND,3316.97116690761,310821.172675041,459
1701,AGHANLOO,40318.3916830214,76062621.591674,460
1307,CROSSGAR,33300.6392296048,32606834.7832036,461
611,KATESBRIDGE,52272.8861566907,71415813.8229772,462
1609,GARDENMORE,5544.82040337643,1213213.70958357,463
2233,DERRYLECKAGH,25026.322048081,14846955.0614749,464
2509,DRUMRAGH,11997.4476018592,4044024.21677891,465
926,GALWALLY,4508.21970473923,1051472.69737591,466
1714,THE HIGHLANDS,50486.3640068463,57273685.0775444,467
1412,COALISLAND WEST AND NEWMILLS,15589.2903795794,9217395.37210169,468
1815,KILWEE,4476.66505627643,1000664.08041375,469
914,LISNASHARRAGH,5174.42141651186,974729.56467651,470
901,BALLYHANWOOD,16457.3781057066,10543416.59414,471
1611,GLYNN,34986.2147689982,35102308.4474173,472
1927,STRAND,5754.93329964475,1198172.53325445,473
923,CAIRNSHILL,5949.05003525398,910880.538712852,474
